difference_metric,loss,mae,mape,mse,r2_score,rmse,val_difference_metric,val_loss,val_mae,val_mape,val_mse,val_r2_score,val_rmse
0.12108932435512543,0.12084747850894928,0.12084747850894928,1862512.0,0.03842417523264885,-211.3458709716797,0.1384085714817047,0.10200314968824387,0.10154561698436737,0.10154561698436737,1975445.625,0.013875347562134266,-61.41762924194336,0.11809930950403214
0.10070925205945969,0.09904775023460388,0.09904775023460388,244.3178253173828,0.012934345752000809,-23.399267196655273,0.11511695384979248,0.10181424766778946,0.10142095386981964,0.10142095386981964,1809646.125,0.013777367770671844,-60.915496826171875,0.11764274537563324
0.10180818289518356,0.10086294263601303,0.10086294263601303,1891247.125,0.013735651038587093,-66.37124633789062,0.11812198162078857,0.10223185271024704,0.1007571890950203,0.1007571890950203,1923741.875,0.013695933856070042,-61.8464241027832,0.11849258840084076
0.10074567049741745,0.09691661596298218,0.09691661596298218,242.59071350097656,0.012531696818768978,-23.537139892578125,0.11544088274240494,0.10196137428283691,0.10065674781799316,0.10065674781799316,1804891.875,0.013607371598482132,-61.203006744384766,0.11790811270475388
0.10471713542938232,0.09289931505918503,0.09289931505918503,1812215.5,0.012106580659747124,-72.2795639038086,0.12253625690937042,0.12463224679231644,0.07927455008029938,0.07927455008029938,640409.0,0.010281944647431374,-102.38115692138672,0.14879471063613892
0.1214466392993927,0.06990331411361694,0.06990331411361694,111.56634521484375,0.009527531452476978,-40.43846130371094,0.14807486534118652,0.11481703072786331,0.06659544259309769,0.06659544259309769,996619.1875,0.007216709665954113,-84.71208953857422,0.13664297759532928
0.12233693897724152,0.0511467307806015,0.0511467307806015,902549.1875,0.00452917767688632,-106.95525360107422,0.14648093283176422,0.12761138379573822,0.03157097101211548,0.03157097101211548,536883.5,0.0020020678639411926,-108.54576110839844,0.15353699028491974
0.12835745513439178,0.031751882284879684,0.031751882284879684,89.42131042480469,0.0018326092977076769,-44.190860748291016,0.1542016565799713,0.1281261444091797,0.03126588836312294,0.03126588836312294,558163.8125,0.0018455401295796037,-109.48735809326172,0.1541178673505783
0.1286708414554596,0.031650610268116,0.031650610268116,663162.8125,0.0018877324182540178,-119.38704681396484,0.15452176332473755,0.13093522191047668,0.02831197902560234,0.02831197902560234,245564.3125,0.0015154104912653565,-114.6546630859375,0.15727810561656952
0.1290307343006134,0.03060263954102993,0.03060263954102993,32.34309387207031,0.0018486428307369351,-44.513431549072266,0.15450473129749298,0.13018859922885895,0.02553980052471161,0.02553980052471161,294171.15625,0.0012992789270356297,-113.33106994628906,0.15656055510044098
0.12977765500545502,0.02436951734125614,0.02436951734125614,492562.0625,0.0011149896308779716,-121.74971771240234,0.1559828221797943,0.1345604509115219,0.02785387448966503,0.02785387448966503,195403.359375,0.0015741577371954918,-121.27113342285156,0.16154751181602478
0.13054817914962769,0.02883061021566391,0.02883061021566391,31.032657623291016,0.0016824729973450303,-45.88713073730469,0.15705984830856323,0.13406965136528015,0.02787191979587078,0.02787191979587078,343806.5,0.0013646861771121621,-120.35160827636719,0.16089379787445068
0.13035747408866882,0.022450435906648636,0.022450435906648636,434031.09375,0.0009443801245652139,-122.89529418945312,0.1567312330007553,0.13286246359348297,0.022191297262907028,0.022191297262907028,311336.03125,0.0009043616591952741,-118.26580810546875,0.15966124832630157
